location_id,city_name,state_name,state_code,country,region,mesoregion,latitude,longitude,altitude_m,population_class
abdon_batista,Abdon Batista,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-27.6124,-51.023,0,small
abelardo_luz,Abelardo Luz,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.5706,-52.328,0,small
agrolandia,Agrolândia,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-27.4121,-49.8295,0,small
agronomica,Agronômica,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.2661,-49.7105,0,small
agua_doce,Água Doce,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-26.9986,-51.5529,0,small
aguas_de_chapeco,Águas de Chapecó,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-27.0741,-52.9879,0,small
aguas_frias,Águas Frias,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.8817,-52.86,0,small
aguas_mornas,Águas Mornas,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-27.6963,-48.8248,0,small
alfredo_wagner,Alfredo Wagner,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-27.6962,-49.3327,0,small
alto_bela_vista,Alto Bela Vista,Santa Catarina,SC,Brasil,Sul,Serrana,-27.4321,-51.9058,0,small
anchieta,Anchieta,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.5351,-53.3294,0,small
angelina,Angelina,Santa Catarina,SC,Brasil,Sul,Grande Florianópolis,-27.5805,-48.9839,0,small
anita_garibaldi,Anita Garibaldi,Santa Catarina,SC,Brasil,Sul,Serrana,-27.6855,-51.1294,0,small
anitapolis,Anitápolis,Santa Catarina,SC,Brasil,Sul,Grande Florianópolis,-27.9041,-49.1287,0,small
antonio_carlos,Antônio Carlos,Santa Catarina,SC,Brasil,Sul,Grande Florianópolis,-27.5168,-48.7685,0,small
apiuna,Apiúna,Santa Catarina,SC,Brasil,Sul,Grande Florianópolis,-27.0375,-49.3885,0,small
arabuta,Arabutã,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.1587,-52.1438,0,small
araquari,Araquari,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.3703,-48.7211,0,small
ararangua,Araranguá,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.9349,-49.4858,0,small
armazem,Armazém,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-28.2625,-49.019,0,small
arroio_trinta,Arroio Trinta,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-26.9302,-51.3349,0,small
arvoredo,Arvoredo,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.0755,-52.4571,0,small
ascurra,Ascurra,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-26.957,-49.3768,0,small
atalanta,Atalanta,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.4219,-49.7789,0,small
aurora,Aurora,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.3304,-49.5866,0,small
balneario_arroio_do_silva,Balneário Arroio do Silva,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.9815,-49.419,0,small
balneario_camboriu,Balneário Camboriú,Santa Catarina,SC,Brasil,Sul,Grande Florianópolis,-26.9924,-48.634,0,small
balneario_barra_do_sul,Balneário Barra do Sul,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-26.4598,-48.6061,0,small
balneario_gaivota,Balneário Gaivota,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-29.1553,-49.5809,0,small
bandeirante,Bandeirante,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.7673,-53.6392,0,small
barra_bonita,Barra Bonita,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.6526,-53.442,0,small
barra_velha,Barra Velha,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.6338,-48.6835,0,small
bela_vista_do_toldo,Bela Vista do Toldo,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.2746,-50.4664,0,small
belmonte,Belmonte,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.8448,-53.5789,0,small
benedito_novo,Benedito Novo,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.7841,-49.363,0,small
biguacu,Biguaçu,Santa Catarina,SC,Brasil,Sul,Grande Florianópolis,-27.4961,-48.6541,0,small
blumenau,Blumenau,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.9196,-49.0658,0,small
bocaina_do_sul,Bocaina do Sul,Santa Catarina,SC,Brasil,Sul,Serrana,-27.7455,-49.9423,0,small
bombinhas,Bombinhas,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-27.1519,-48.4876,0,small
bom_jardim_da_serra,Bom Jardim da Serra,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-28.338,-49.6256,0,small
bom_jesus,Bom Jesus,Santa Catarina,SC,Brasil,Sul,Serrana,-26.7351,-52.3917,0,small
bom_jesus_do_oeste,Bom Jesus do Oeste,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.693,-53.0967,0,small
bom_retiro,Bom Retiro,Santa Catarina,SC,Brasil,Sul,Serrana,-27.799,-49.487,0,small
botuvera,Botuverá,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.1991,-49.0726,0,small
braco_do_norte,Braço do Norte,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-28.2729,-49.1623,0,small
braco_do_trombudo,Braço do Trombudo,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.3586,-49.8821,0,small
brunopolis,Brunópolis,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.311,-50.8376,0,small
brusque,Brusque,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.0965,-48.9136,0,small
cacador,Caçador,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.7738,-51.0135,0,small
caibi,Caibi,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.0752,-53.2502,0,small
calmon,Calmon,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.6024,-51.0993,0,small
camboriu,Camboriú,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.0274,-48.6536,0,small
capao_alto,Capão Alto,Santa Catarina,SC,Brasil,Sul,Serrana,-27.9383,-50.5115,0,small
campo_alegre,Campo Alegre,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.1942,-49.2657,0,small
campo_belo_do_sul,Campo Belo do Sul,Santa Catarina,SC,Brasil,Sul,Serrana,-27.8989,-50.7596,0,small
campo_ere,Campo Erê,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.3947,-53.079,0,small
campos_novos,Campos Novos,Santa Catarina,SC,Brasil,Sul,Serrana,-27.3963,-51.2224,0,small
canelinha,Canelinha,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.266,-48.7667,0,small
canoinhas,Canoinhas,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.1755,-50.395,0,small
capinzal,Capinzal,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.3441,-51.611,0,small
capivari_de_baixo,Capivari de Baixo,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.4498,-48.9631,0,small
catanduvas,Catanduvas,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.069,-51.6602,0,small
caxambu_do_sul,Caxambu do Sul,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.1615,-52.8797,0,small
celso_ramos,Celso Ramos,Santa Catarina,SC,Brasil,Sul,Serrana,-27.6336,-51.3368,0,small
cerro_negro,Cerro Negro,Santa Catarina,SC,Brasil,Sul,Serrana,-27.7953,-50.8741,0,small
chapadao_do_lageado,Chapadão do Lageado,Santa Catarina,SC,Brasil,Sul,Serrana,-27.5905,-49.5539,0,small
chapeco,Chapecó,Santa Catarina,SC,Brasil,Sul,Grande Florianópolis,-27.111,-52.5959,0,small
cocal_do_sul,Cocal do Sul,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.6007,-49.3249,0,small
concordia,Concórdia,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.2312,-52.0231,0,small
cordilheira_alta,Cordilheira Alta,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.9854,-52.6035,0,small
coronel_freitas,Coronel Freitas,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.9059,-52.7028,0,small
coronel_martins,Coronel Martins,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.5125,-52.6682,0,small
corupa,Corupá,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.4267,-49.2475,0,small
correia_pinto,Correia Pinto,Santa Catarina,SC,Brasil,Sul,Serrana,-27.5877,-50.3614,0,small
criciuma,Criciúma,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.679,-49.3696,0,small
cunha_pora,Cunha Porã,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.8927,-53.1717,0,small
cunhatai,Cunhataí,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.9735,-53.0914,0,small
curitibanos,Curitibanos,Santa Catarina,SC,Brasil,Sul,Serrana,-27.2901,-50.578,0,small
descanso,Descanso,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.8247,-53.5018,0,small
dionisio_cerqueira,Dionísio Cerqueira,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.2605,-53.6346,0,small
dona_emma,Dona Emma,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-26.9849,-49.7265,0,small
doutor_pedrinho,Doutor Pedrinho,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.7164,-49.4827,0,small
entre_rios,Entre Rios,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.7236,-52.5638,0,small
ermo,Ermo,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.9849,-49.6427,0,small
erval_velho,Erval Velho,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.2748,-51.443,0,small
faxinal_dos_guedes,Faxinal dos Guedes,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.8494,-52.2586,0,small
flor_do_sertao,Flor do Sertão,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.7785,-53.3479,0,small
florianopolis,Florianópolis,Santa Catarina,SC,Brasil,Sul,Grande Florianópolis,-27.5973,-48.5496,0,small
formosa_do_sul,Formosa do Sul,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.6479,-52.7934,0,small
forquilhinha,Forquilhinha,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.7488,-49.4738,0,small
fraiburgo,Fraiburgo,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-27.0233,-50.92,0,small
frei_rogerio,Frei Rogério,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.175,-50.8076,0,small
galvao,Galvão,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.4554,-52.687,0,small
garopaba,Garopaba,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-28.0275,-48.624,0,small
garuva,Garuva,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-26.0295,-48.8545,0,small
gaspar,Gaspar,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-26.9307,-48.9567,0,small
governador_celso_ramos,Governador Celso Ramos,Santa Catarina,SC,Brasil,Sul,Grande Florianópolis,-27.3172,-48.5576,0,small
grao_para,Grão-Pará,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.1857,-49.2164,0,small
gravatal,Gravatal,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-28.3301,-49.0362,0,small
guabiruba,Guabiruba,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.0864,-48.9781,0,small
guaraciaba,Guaraciaba,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.6002,-53.5216,0,small
guaramirim,Guaramirim,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.4745,-48.9981,0,small
guaruja_do_sul,Guarujá do Sul,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.385,-53.5278,0,small
guatambu,Guatambú,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.1123,-52.7808,0,small
herval_d_oeste,Herval d'Oeste,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.1736,-51.4904,0,small
ibiam,Ibiam,Santa Catarina,SC,Brasil,Sul,Serrana,-27.1819,-51.237,0,small
ibicare,Ibicaré,Santa Catarina,SC,Brasil,Sul,Serrana,-27.0881,-51.3681,0,small
ibirama,Ibirama,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.0537,-49.5191,0,small
icara,Içara,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.7117,-49.2971,0,small
ilhota,Ilhota,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.9023,-48.8285,0,small
imarui,Imaruí,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.344,-48.8152,0,small
imbituba,Imbituba,Santa Catarina,SC,Brasil,Sul,Grande Florianópolis,-28.2418,-48.6643,0,small
imbuia,Imbuia,Santa Catarina,SC,Brasil,Sul,Serrana,-27.4908,-49.4218,0,small
indaial,Indaial,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-26.8902,-49.2417,0,small
iomere,Iomerê,Santa Catarina,SC,Brasil,Sul,Serrana,-27.002,-51.2406,0,small
ipira,Ipira,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-27.4053,-51.7735,0,small
ipora_do_oeste,Iporã do Oeste,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.9884,-53.5346,0,small
ipuacu,Ipuaçu,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.635,-52.4556,0,small
ipumirim,Ipumirim,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.0762,-52.1357,0,small
iraceminha,Iraceminha,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.8237,-53.2728,0,small
irani,Irani,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.023,-51.9011,0,small
irati,Irati,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.6578,-52.893,0,small
irineopolis,Irineópolis,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.242,-50.7957,0,small
ita,Itá,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.275,-52.3382,0,small
itaiopolis,Itaiópolis,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.3392,-49.9072,0,small
itajai,Itajaí,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.9047,-48.6553,0,small
itapema,Itapema,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-27.0947,-48.6138,0,small
itapiranga,Itapiranga,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.1724,-53.7119,0,small
itapoa,Itapoá,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.1162,-48.618,0,small
ituporanga,Ituporanga,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.4096,-49.6015,0,small
jabora,Jaborá,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.1743,-51.7349,0,small
jacinto_machado,Jacinto Machado,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.9993,-49.7603,0,small
jaguaruna,Jaguaruna,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.6237,-49.0289,0,small
jaragua_do_sul,Jaraguá do Sul,Santa Catarina,SC,Brasil,Sul,Grande Florianópolis,-26.4897,-49.0778,0,small
jardinopolis,Jardinópolis,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.7216,-52.8591,0,small
joacaba,Joaçaba,Santa Catarina,SC,Brasil,Sul,Grande Florianópolis,-27.1737,-51.5065,0,small
joinville,Joinville,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.3045,-48.8487,0,small
jose_boiteux,José Boiteux,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.9621,-49.6263,0,small
jupia,Jupiá,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.3986,-52.7263,0,small
lacerdopolis,Lacerdópolis,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.2614,-51.5564,0,small
lages,Lages,Santa Catarina,SC,Brasil,Sul,Grande Florianópolis,-27.8166,-50.3259,0,small
laguna,Laguna,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.4837,-48.7817,0,small
lajeado_grande,Lajeado Grande,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.8583,-52.5667,0,small
laurentino,Laurentino,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.2193,-49.7323,0,small
lauro_muller,Lauro Müller,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-28.3942,-49.3975,0,small
lebon_regis,Lebon Régis,Santa Catarina,SC,Brasil,Sul,Serrana,-26.928,-50.6921,0,small
leoberto_leal,Leoberto Leal,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.5071,-49.2872,0,small
lindoia_do_sul,Lindóia do Sul,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.052,-52.0832,0,small
